,kms_driven,owner,mileage,power,brand,engine,age,city,city_tier,price
0,17000.0,1,35.0,19.0,Bajaj,,5,Hyderabad,1,63500.0
1,50000.0,1,35.0,19.8,Royal,350,6,Hyderabad,1,115000.0
2,14795.0,1,30.0,28.0,Hyosung,,10,Hyderabad,1,300000.0
3,,1,,34.5,Bajaj,,5,Pondicherry,3,100000.0
4,2000.0,1,,30.0,Jawa,330,2,Bangalore,1,197500.0
5,24561.0,3,35.0,25.0,KTM,200,10,Bangalore,1,63400.0
6,19718.0,1,65.0,17.0,Bajaj,180,6,Bangalore,1,55000.0
7,,1,40.0,20.21,TVS,,2,Hyderabad,1,120000.0
8,1350.0,1,25.0,42.9,KTM,390,4,Jaipur,2,198000.0
9,,1,58.0,13.0,Yamaha,150,8,Bangalore,1,40000.0
10,25000.0,1,35.0,19.8,Royal,350,4,Chennai,1,136900.0
11,26240.0,1,32.0,24.5,Royal,410,6,Ghaziabad,2,112000.0
12,18866.0,1,40.0,19.8,Royal,350,5,Delhi,1,110000.0
13,,1,65.0,10.0,Honda,125,4,Delhi,1,50000.0
14,,1,30.0,18.0,Royal,350,3,Delhi,1,131000.0
15,,3,42.0,23.2,Bajaj,,4,Delhi,1,53000.0
16,12634.0,1,35.0,19.8,Royal,350,3,Delhi,1,160000.0
17,,1,37.0,19.8,Royal,350,7,Delhi,1,121000.0
18,13000.0,1,37.0,19.8,Royal,350,6,Delhi,1,111000.0
19,28000.0,1,40.0,19.8,Royal,350,3,Delhi,1,131500.0
20,,1,60.0,14.0,Honda,150,6,Delhi,1,52000.0
21,23350.0,1,37.0,19.0,Royal,350,4,Delhi,1,115000.0
22,,1,65.0,14.85,Bajaj,150,8,Delhi,1,47000.0
23,9551.0,1,53.0,19.0,Bajaj,,6,Delhi,1,52000.0
24,23522.0,1,37.0,19.8,Royal,350,4,Ludhiana,2,190000.0
25,25000.0,1,40.0,19.8,Royal,350,7,Delhi,1,67000.0
26,12000.0,1,55.0,12.0,Yamaha,150,10,Delhi,1,28000.0
27,10168.0,1,45.0,13.0,Yamaha,150,7,Delhi,1,44000.0
28,7000.0,1,35.0,19.8,Royal,350,4,Delhi,1,141500.0
29,12000.0,1,35.0,19.8,Royal,350,6,Delhi,1,110000.0
30,,1,42.0,23.2,Bajaj,,2,Delhi,1,118000.0
31,26683.0,1,38.0,21.0,Bajaj,,6,Delhi,1,65000.0
32,6900.0,1,35.0,24.8,UM,,4,Bangalore,1,148000.0
33,15000.0,1,,13.0,Hero,150,3,Jaunpur,3,48000.0
34,,1,58.0,13.0,Yamaha,150,5,Mumbai,1,47475.0
35,30202.0,2,29.0,26.15,Honda,,11,Mumbai,1,58000.0
36,50000.0,1,55.0,8.9,Hero,125,3,Chittorgarh,3,63000.0
37,,1,65.0,15.0,Bajaj,150,4,Chittorgarh,3,48000.0
38,40000.0,1,75.0,9.0,Hero,125,3,Chittorgarh,3,60000.0
39,20805.0,1,35.0,19.8,Royal,350,7,Delhi,1,95000.0
40,45000.0,1,,8.6,Bajaj,110,3,Chittorgarh,3,46000.0
41,28200.0,1,38.0,21.0,Bajaj,,6,Bangalore,1,58000.0
42,50000.0,1,35.0,19.8,Royal,350,11,Thalassery,3,70000.0
43,14000.0,1,53.0,19.0,Bajaj,,6,Hyderabad,1,55000.0
44,55000.0,1,38.0,21.0,Bajaj,220,7,Chittorgarh,3,45000.0
45,30000.0,1,65.0,17.0,Bajaj,180,4,Delhi,1,62000.0
46,1650.0,1,37.0,19.8,Royal,350,4,Bathinda,3,140000.0
47,45000.0,1,55.0,11.0,Hero,125,8,Hyderabad,1,30000.0
48,,1,65.0,10.0,Honda,125,3,Gurgaon,3,51000.0
49,33000.0,1,40.0,17.0,Hero,223,13,Delhi,1,18000.0
50,27300.0,1,,19.8,Royal,350,3,Hyderabad,1,130000.0
51,5700.0,1,35.0,24.6,KTM,200,1,Mumbai,1,207500.0
52,15000.0,2,32.0,24.5,Royal,410,3,Mumbai,1,181562.0
53,21000.0,1,25.0,27.2,Royal,500,9,Dehradun,3,110000.0
54,9000.0,1,35.0,19.1,Royal,350,2,Mumbai,1,207500.0
55,35000.0,1,63.0,14.0,Suzuki,150,7,Pune,1,54468.0
56,,1,65.0,10.0,Honda,125,4,Kukatpally,3,70000.0
57,20864.0,1,38.0,21.0,Bajaj,220,5,Delhi,1,55000.0
58,,1,65.0,14.85,Bajaj,150,14,Pune,1,30087.0
59,44228.0,1,55.0,8.0,Hero,110,3,Chittorgarh,3,57000.0
60,,1,,34.5,Bajaj,,5,Bangalore,1,150000.0
61,7000.0,1,31.85,29.63,Husqvarna,,2,Mumbai,1,197125.0
62,9000.0,1,,19.8,Royal,350,3,Mumbai,1,166000.0
63,21500.0,1,,16.1,TVS,,3,Hyderabad,1,93000.0
